"","Name_submitted","Accepted_name","Accepted.Symbol","Synonym.Symbol","Symbol","PLANTS.Floristic.Area","State.and.Province","Category","Family","Duration","Growth.Habit","Native.Status","Characteristics.Data","Active.Growth.Period","After.Harvest.Regrowth.Rate","Bloat","C.N.Ratio","Coppice.Potential","Fall.Conspicuous","Fire.Resistance","Flower.Color","Flower.Conspicuous","Foliage.Color","Foliage.Porosity.Summer","Foliage.Porosity.Winter","Foliage.Texture","Fruit.Color","Fruit.Conspicuous","Growth.Form","Growth.Rate","Height.at.Base.Age..Maximum..feet.","Height..Mature..feet.","Known.Allelopath","Leaf.Retention","Lifespan","Low.Growing.Grass","Nitrogen.Fixation","Resprout.Ability","Shape.and.Orientation","Toxicity","Adapted.to.Coarse.Textured.Soils","Adapted.to.Medium.Textured.Soils","Adapted.to.Fine.Textured.Soils","Anaerobic.Tolerance","CaCO.SUB.3..SUB..Tolerance","Cold.Stratification.Required","Drought.Tolerance","Fertility.Requirement","Fire.Tolerance","Frost.Free.Days..Minimum","Hedge.Tolerance","Moisture.Use","pH..Minimum.","pH..Maximum.","Planting.Density.per.Acre..Minimum","Planting.Density.per.Acre..Maximum","Precipitation..Minimum.","Precipitation..Maximum.","Root.Depth..Minimum..inches.","Salinity.Tolerance","Shade.Tolerance","Temperature..Minimum..F.","Bloom.Period","Commercial.Availability","Fruit.Seed.Abundance","Fruit.Seed.Period.Begin","Fruit.Seed.Period.End","Fruit.Seed.Persistence","Propogated.by.Bare.Root","Propogated.by.Bulbs","Propogated.by.Container","Propogated.by.Corms","Propogated.by.Cuttings","Propogated.by.Seed","Propogated.by.Sod","Propogated.by.Sprigs","Propogated.by.Tubers","Seeds.per.Pound","Seed.Spread.Rate","Seedling.Vigor","Small.Grain","Vegetative.Spread.Rate","Berry.Nut.Seed.Product","Christmas.Tree.Product","Fodder.Product","Fuelwood.Product","Lumber.Product","Naval.Store.Product","Nursery.Stock.Product","Palatable.Browse.Animal","Palatable.Graze.Animal","Palatable.Human","Post.Product","Protein.Potential","Pulpwood.Product","Veneer.Product"
"1842","Shepherdia argentea","Shepherdia argentea","SHAR",NA,"SHAR","NA (L48, CAN)","CAN(AB, BC, MB, SK), USA(AZ, CA, CO, IA, ID, KS, MI, MN, MT, ND, NE, NM, NV, NY, OR, SD, UT, WI, WY)","Dicot","Elaeagnaceae","Perennial","Tree, Shrub","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","Medium","Yes","Yes","No","Yellow","Yes","White-Gray","Dense","Moderate","Coarse","Red","Yes","Multiple Stem","Rapid",18,18,"No","No","Moderate","No","Medium","Yes","Semi-Erect","None","Yes","Yes","No","None","High","Yes","Medium","Low","Medium",110,"Medium","Medium",5.3,8,300,1800,15,20,24,"High","Intermediate",-38,"Late Spring","Routinely Available","High","Summer","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",31215,"Slow","Medium","No","Rapid","No","No","No",NA,"No","No","Yes","Medium","Low","Yes","No","Low","No","No"
"1843","Shepherdia canadensis","Shepherdia canadensis","SHCA",NA,"SHCA","NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), USA(AK, AZ, CA, CO, ID, IL, IN, ME, MI, MN, MT, ND, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY)","Dicot","Elaeagnaceae","Perennial","Shrub","L48(N)AK(N)CAN(N)","Yes","Spring and Summer",NA,"None","Medium","Yes","Yes","No","Yellow","Yes","White-Gray","Dense","Moderate","Coarse","Yellow","Yes","Multiple Stem","Rapid",6,6,"No","No","Moderate","No","Medium","Yes","Semi-Erect","None","Yes","Yes","No","Low","High","Yes","High","Low","Medium",95,"Medium","Medium",5.3,8,300,1800,15,30,24,"Medium","Intermediate",-63,"Late Spring","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",57563,"Slow","Medium","No","Rapid","No","No","No",NA,"No","No","Yes","Medium","Low","Yes","No","Low","No","No"
"1844","Sidalcea neomexicana","Sidalcea neomexicana","SINE3",NA,"SINE3","NA (L48)","USA(AZ, CA, CO, ID, NE, NM, NV, OR, TX, UT, WY)","Dicot","Malvaceae","Perennial","Subshrub, Forb/herb","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Purple","Yes","Green","Porous","Porous","Coarse","Brown","No","Single Crown","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","Medium","Medium","No","Low","Medium","Medium",135,"None","High",6.2,7.8,NA,NA,10,28,12,"None","Tolerant",-23,"Mid Spring","Routinely Available","High","Summer","Summer","Yes","No","No","No","No","No","Yes","No","No","No",900000,"Moderate","Medium","No","None","No","No","No",NA,"No","No","No",NA,NA,"Yes","No",NA,"No","No"
"1845","Sidalcea oregana","Sidalcea oregana","SIOR",NA,"SIOR","NA (L48, CAN)","CAN(BC), USA(CA, ID, MT, NV, NY, OR, UT, WA, WY)","Dicot","Malvaceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Purple","Yes","Green","Moderate","Porous","Coarse","Brown","No","Single Crown","Moderate",NA,4,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","High","Medium","No","None","Medium","Medium",120,"None","High",6.4,8,NA,NA,10,28,12,"None","Tolerant",-38,"Late Spring","Routinely Available","High","Summer","Summer","Yes","No","No","No","No","No","Yes","No","No","No",158325,"Moderate","Medium","No","None","No","No","No",NA,"No","No","No",NA,NA,"No","No",NA,"No","No"
"1846","Sideroxylon lycioides","Sideroxylon lycioides","SILY",NA,"SILY","NA (L48)","USA(AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, SC, TN, TX, VA, WV)","Dicot","Sapotaceae","Perennial","Tree, Shrub","L48(N)","Yes","Spring, Summer, Fall",NA,"None","High","Yes","No","No","White","No","Green","Moderate","Porous","Medium","Black","Yes","Single Crown","Rapid",15,10,"No","Yes","Short","No","None","No","Rounded","Severe","Yes","No","No","Medium","Low","Yes","High","Low","Low",207,"None","Low",4,7,600,2400,33,51,24,"None","Tolerant",-27,"Early Summer","No Known Source","Low","Fall","Fall","Yes","No","No","No","No","No","Yes","No","No","No",5000,"Slow","Low","No","Slow","No","No","No","High","No","No","No","Medium","Low","Yes","Yes","Low","No","No"
"1847","Sideroxylon reclinatum ssp. reclinatum","Sideroxylon reclinatum subsp. reclinatum","SIRER2",NA,"SIRER2","NA (L48)","USA(AL, FL, GA, LA, MS, SC)","Dicot","Sapotaceae","Perennial","Shrub","L48(N)","Yes",NA,NA,"None",NA,"No","No","No","White","No","Green","Porous","Porous",NA,NA,"No",NA,NA,3,2,"No","No",NA,"No","None","No",NA,NA,"Yes","Yes","No","Low",NA,"No","None",NA,NA,207,NA,NA,4.5,7.3,NA,NA,40,68,NA,NA,NA,-3,"Late Spring",NA,NA,NA,NA,"No","No","No","Yes","No","No","No","No","No","No",NA,NA,NA,"No",NA,"No","No","No",NA,"No","No","No",NA,NA,"No","No",NA,"No","No"
"1848","Silphium perfoliatum","Silphium perfoliatum","SIPE2",NA,"SIPE2","NA (L48, CAN)","CAN(ON, QC), USA(AL, AR, CT, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, PA, SD, TN, VA, VT, WI, WV)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Summer",NA,"None",NA,"No","No","No","Yellow","Yes","Green","Moderate","Porous","Coarse","Brown","No",NA,"Rapid",NA,6,"No","No",NA,"No","None","No",NA,"None","Yes","Yes","Yes","Low",NA,"Yes","Low",NA,NA,128,"None",NA,4.5,7.5,NA,NA,16,51,NA,NA,"Intermediate",-49,"Late Summer",NA,NA,NA,NA,"No","No","No","Yes","No","No","Yes","No","No","No",NA,NA,NA,"No",NA,"No","No","No",NA,"No","No","No",NA,NA,"No","No",NA,"No","No"
"1849","Simmondsia chinensis","Simmondsia chinensis","SICH",NA,"SICH","NA (L48)","USA(AZ, CA, UT)","Dicot","Simmondsiaceae","Perennial","Shrub","L48(N)","Yes","Summer and Fall",NA,"None","Medium","No","No","No","Yellow","No","Green","Moderate","Moderate","Medium","Brown","Yes","Multiple Stem","Moderate",7,7,"No","Yes","Long","No","None","No","Rounded","None","Yes","Yes","No","None","High","No","High","Low","High",240,"High","Low",7,8.5,10,1200,2,10,12,"High","Intolerant",-3,"Late Spring","Field Collections Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",700,"Slow",NA,"No","None","Yes","No","Yes",NA,"No","No","Yes","Medium","Medium","Yes","No","Medium","No","No"
"1850","Sisyrinchium angustifolium","Sisyrinchium angustifolium","SIAN3",NA,"SIAN3","NA (L48, CAN)","CAN(LB, NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Monocot","Iridaceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","High","No","No","No","Blue","Yes","Green","Moderate","Porous","Fine","Black","No","Bunch","Moderate",NA,2,"No","No","Short","No","None","No","Erect","None","No","Yes","Yes","Low","Low","No","Low","Low","High",180,"None","Medium",5,7,1700,2700,32,60,4,"None","Intermediate",-3,"Mid Spring","Routinely Available","Low","Spring","Summer","No","Yes","Yes","No","No","No","Yes","No","No","No",757000,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No",NA,"No","No"
"1851","Sisyrinchium idahoense","Sisyrinchium idahoense","SIID",NA,"SIID","NA (L48, CAN)","CAN(BC), USA(AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Monocot","Iridaceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Blue","Yes","Yellow-Green","Porous","Porous","Fine","Brown","No","Single Crown","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","Yes","Medium","Medium","No","Low","Medium","Medium",120,"None","High",6.4,8.2,NA,NA,10,32,8,"None","Tolerant",-38,"Mid Spring","Routinely Available","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No",500000,"Moderate","Medium","No","None","No","No","No",NA,"No","No","No",NA,NA,"No","No",NA,"No","No"
"1852","Sloanea berteriana","Sloanea berteroana","SLBE",NA,"SLBE","PR","USA+(PR)","Dicot","Elaeocarpaceae","Perennial","Tree","PR(N)","Yes","Year Round",NA,"None",NA,"No","No","No","Yellow","Yes","Green","Dense","Dense","Coarse","Brown","No","Rhizomatous","Moderate",30,100,"No","Yes","Short","No","None","Yes",NA,NA,"Yes","Yes","No","Medium","Medium","Yes",NA,"Medium","Medium",365,"Low",NA,4.5,6,320,640,35,276,36,"None","Intolerant",40,"Summer",NA,NA,"Year Round","Year Round","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No",NA,NA,NA,"No",NA,"Yes","No","No","Low","Yes","No","No","Medium","Low","Yes","Yes",NA,"No","No"
"1853","Smilax bona-nox","Smilax bona-nox","SMBO2",NA,"SMBO2","NA (L48)","USA(AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OH, OK, SC, TN, TX, VA)","Monocot","Smilacaceae","Perennial","Shrub, Vine","L48(N)","Yes","Spring and Summer",NA,"None",NA,"No","No","No","Green","No","Green","Moderate","Porous","Coarse","Black","Yes","Thicket Forming","Rapid",NA,4,"No","Yes","Moderate","No","None","Yes","Climbing","None","Yes","Yes","Yes","Medium","Medium","Yes","Medium","Low","High",160,"Low","Medium",4.5,8.5,2728,10912,20,60,12,"None","Tolerant",-18,"Spring","No Known Source","Medium","Spring","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",NA,"Slow","Medium","No","Rapid","No","No","No",NA,"No","No","No","High","Low","No","No",NA,"No","No"
"1854","Smilax glauca","Smilax glauca","SMGL",NA,"SMGL","NA (L48)","USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV, WY)","Monocot","Smilacaceae","Perennial","Shrub, Vine","L48(N)","Yes","Spring and Summer",NA,"None",NA,"No","No","No","Green","No","Gray-Green","Moderate","Porous","Coarse","Black","Yes","Thicket Forming","Rapid",NA,1,"No","Yes","Long","No","None","Yes","Climbing","None","Yes","Yes","Yes","Low","Medium","Yes","Medium","Medium","High",160,"Low","Medium",4.5,7.5,2728,10912,35,60,12,"None","Tolerant",-13,"Spring","No Known Source","Low","Spring","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",NA,"Moderate","High","No","Moderate","No","No","No",NA,"No","No","No","High","Low","No","No",NA,"No","No"
"1855","Smilax laurifolia","Smilax laurifolia","SMLA",NA,"SMLA","NA (L48)","USA(AL, AR, DE, FL, GA, LA, MD, MS, NC, NJ, OK, SC, TN, TX, VA)","Monocot","Smilacaceae","Perennial","Shrub, Vine","L48(N)","Yes","Spring and Summer",NA,"None",NA,"No","No","No","Green","No","Green","Moderate","Moderate","Coarse","Black","Yes","Thicket Forming","Rapid",NA,1,"No","Yes","Long","No","None","Yes","Climbing","None","Yes","Yes","Yes","High","Low","Yes","Low","Medium","Medium",180,"Low","High",4,7,2728,10912,45,60,12,"None","Tolerant",-8,"Late Summer","No Known Source","High","Fall","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",NA,"Slow","High","No","Rapid","No","No","No",NA,"No","No","No","High","Medium","No","No",NA,"No","No"
"1856","Smilax rotundifolia","Smilax rotundifolia","SMRO",NA,"SMRO","NA (L48, CAN)","CAN(NS, ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WV)","Monocot","Smilacaceae","Perennial","Vine, Shrub","L48(N)CAN(N)","Yes","Summer",NA,"None","High","No","No","No","White","No","Green","Porous","Porous","Medium","Brown","No","Single Crown","Slow",NA,1,"No","No","Moderate","No","None","Yes","Climbing","None","No","Yes","No","None","Low","Yes","Medium","Medium","Low",185,"None","Medium",5,7.5,1200,4800,32,60,12,"None","Intolerant",-33,"Spring","No Known Source","Low","Spring","Summer","No","Yes","No","Yes","No","No","Yes","No","No","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Medium","Low","No","No","Low","No","No"
"1857","Smilax smallii","Smilax maritima","SMSM",NA,"SMSM","NA (L48), PR","USA+(PR), USA(AL, AR, FL, GA, LA, MS, NC, OK, SC, TX, VA)","Monocot","Smilacaceae","Perennial","Shrub, Vine","L48(N)PR(N)","Yes","Spring and Summer",NA,"None",NA,"No","No","No","Green","No","Green","Moderate","Moderate","Coarse","Black","Yes","Thicket Forming","Rapid",NA,1,"No","Yes","Long","No","None","Yes","Climbing","None","Yes","Yes","Yes","High","Low","Yes","Low","Low","Medium",180,"Low","Medium",4,7,2728,10912,40,60,12,"None","Tolerant",-8,"Spring","No Known Source","Medium","Summer","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",NA,"Slow","High","No","Rapid","No","No","No",NA,"No","No","No","High","Medium","No","No",NA,"No","No"
"1858","Smilax walteri","Smilax walteri","SMWA",NA,"SMWA","NA (L48)","USA(AL, AR, DE, FL, GA, LA, MD, MS, NC, NJ, SC, TN, TX, VA)","Monocot","Smilacaceae","Perennial","Shrub, Vine","L48(N)","Yes","Spring and Summer",NA,"None",NA,"No","No","No","Green","No","Green","Moderate","Moderate","Coarse","Red","Yes","Thicket Forming","Rapid",NA,1,"No","Yes","Long","No","None","Yes","Climbing","None","Yes","Yes","Yes","High","Low","Yes","Low","Medium","High",180,"Low","High",4,7,2728,10912,40,60,12,"None","Tolerant",-8,"Spring","Routinely Available","High","Summer","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",NA,"Slow","High","No","Rapid","No","No","No",NA,"No","No","No","High","Medium","No","No",NA,"No","No"
"1859","Solanum lycopersicum var. lycopersicum","Solanum lycopersicum","SOLYL",NA,"SOLYL","NA (L48, AK, CAN, GU, PB),HI, PR, VI","CAN(BC, NB, NS, ON, QC, SK), USA+(PR, VI), USA(AK, AL, AR, AZ, CA, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, ND, NE, NH, NV, NY, OH, OR, PA, PW, RI, SC, TN, TX, UM, UT, VA, VT, WI)","Dicot","Solanaceae","Annual, Perennial","Forb/herb","L48(I)AK(I)HI(I)PR(I)VI(I)CAN(W)","Yes","Year Round",NA,"None","Medium","No","Yes","No","Yellow","Yes","Green","Dense","Dense","Fine","Red","No","Single Stem","Rapid",NA,6,"No","No","Short","No","None","No","Erect","Slight","No","Yes","Yes","Low","Medium","No","Low","High","None",365,"Low","High",5.5,7,1700,2700,60,80,24,"Medium","Intermediate",32,"Indeterminate","Routinely Available","Low","Year Round","Year Round","No","No","No","Yes","No","No","Yes","No","No","No",NA,"None",NA,"No","None","No","No","No",NA,"No","No","Yes",NA,NA,"No","No",NA,"No","No"
"1860","Solanum melongena","Solanum melongena","SOME",NA,"SOME","NA (L48, GU, PB), PR","USA+(PR), USA(FL, LA, MA, MS, PA, PW)","Dicot","Solanaceae","Perennial","Subshrub, Forb/herb","L48(I)PR(I)","Yes","Year Round",NA,"None","Medium","No","Yes","No",NA,"No","Green","Dense","Moderate","Fine","Purple","Yes","Single Stem","Rapid",NA,4,"No","Yes","Short","No","None","No","Erect","Slight","Yes","Yes","No","Low","Medium","No","Low","High","None",365,"Low","High",5.5,7.2,1700,2700,60,80,24,"Low","Intermediate",17,"Indeterminate","Routinely Available","Low","Year Round","Year Round","No","No","No","Yes","No","Yes","Yes","No","No","No",NA,"None",NA,"No","None","No","No","No",NA,"No","No","Yes",NA,NA,"No","No",NA,"No","No"
"1861","Solidago caesia","Solidago caesia","SOCA4",NA,"SOCA4","NA (L48, CAN)","CAN(NB, ON, QC), USA(AL, AR, CT, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","High","No","Yes","No","Yellow","Yes","Dark Green","Porous","Porous","Medium","Brown","No","Rhizomatous","Moderate",NA,3,"No","No","Short","No","None","No","Erect","None","No","Yes","Yes","None","Medium","No","Low","Low","High",130,"None","Medium",5.5,7,1700,2700,32,50,8,"None","Intermediate",-28,"Late Spring","No Known Source","Medium","Summer","Fall","Yes","No","No","No","No","No","Yes","No","Yes","No",700000,"Slow","Medium","No","Slow","No","No","No",NA,"No","No","No","Low","Low","No","No",NA,"No","No"
"1862","Solidago canadensis","Solidago canadensis","SOCA6",NA,"SOCA6","NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","Yes","Spring and Summer","Moderate","None","High","No","No","No","Yellow","Yes","Green","Dense","Porous","Coarse","Brown","No","Rhizomatous","Rapid",NA,4,"No","No","Long","No","None","No","Erect","None","Yes","Yes","Yes","Medium","Medium","No","Medium","Medium","High",80,"None","Medium",4.8,7.5,4800,10000,16,60,12,"None","Intolerant",-43,"Late Summer","Routinely Available","High","Summer","Fall","No","Yes","No","No","No","No","Yes","No","Yes","No",4600000,"Slow","Medium","No","Rapid","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"1863","Solidago fistulosa","Solidago fistulosa","SOFI",NA,"SOFI","NA (L48)","USA(AL, DE, FL, GA, LA, MD, MS, NC, NJ, SC, VA)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)","Yes","Summer and Fall","Slow","None",NA,"No","Yes","No","Yellow","Yes","Dark Green","Moderate","Porous","Medium","White","No","Rhizomatous","Moderate",NA,7,"No","No","Short","No","None","No","Erect","None","Yes","Yes","Yes","High","Low","No","Low","Low","None",200,"None","High",4.5,7,2728,3450,40,65,6,"None","Tolerant",7,"Late Summer","No Known Source","Medium","Fall","Fall","No","No","No","No","No","No","Yes","No","Yes","No",700000,"Slow","Medium","No","Rapid","No","No","No",NA,"No","No","No","High","High","No","No",NA,"No","No"
"1864","Solidago flexicaulis","Solidago flexicaulis","SOFL2",NA,"SOFL2","NA (L48, CAN)","CAN(NB, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring, Summer, Fall","Slow","None","High","No","Yes","No","Yellow","Yes","Green","Porous","Porous","Medium","Brown","No","Rhizomatous","Moderate",NA,3,"No","No","Short","No","None","No","Erect","None","No","Yes","No","Low","Medium","No","Medium","Medium","High",140,"None","Medium",5.3,7,1700,2700,20,55,8,"None","Intermediate",-18,"Late Summer","No Known Source","Medium","Summer","Fall","No","Yes","No","No","No","No","Yes","No","Yes","No",700000,"Slow","Medium","No","Moderate","No","No","No",NA,"No","No","No","Low","Low","No","No",NA,"No","No"
"1865","Solidago gigantea","Solidago gigantea","SOGI",NA,"SOGI","NA (L48, CAN)","CAN(AB, BC, MB, NB, NS, NT, ON, PE, QC, SK), USA(AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Summer","Slow","None",NA,"No","Yes","No","Yellow","Yes","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,8,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","Low","Medium","No","Medium","Medium","None",110,"None","Medium",4,8,NA,NA,14,50,16,"None","Intermediate",-33,"Indeterminate","Routinely Available","Medium","Summer","Fall","Yes","No","No","No","No","No","Yes","No","No","No",700000,"Moderate","High","No","None","No","No","No",NA,"No","No","No","Medium",NA,"No","No",NA,"No","No"
"1866","Solidago missouriensis","Solidago missouriensis","SOMI2",NA,"SOMI2","NA (L48, CAN)","CAN(AB, BC, MB, ON, SK), USA(AR, AZ, CO, IA, ID, IL, IN, KS, KY, MD, MI, MN, MO, MS, MT, ND, NE, NJ, NM, NV, OK, OR, SD, TN, TX, UT, WA, WI, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring, Summer, Fall","Slow","None","High","No","Yes","No","Yellow","Yes","Green","Porous","Porous","Medium","Brown","No","Rhizomatous","Moderate",NA,3,"No","No","Short","No","None","No","Erect","None","Yes","Yes","No","Low","Medium","No","High","Low","High",90,"None","Low",5.5,7.5,1700,2700,12,35,8,"Low","Intermediate",-38,"Late Summer","No Known Source","Medium","Summer","Fall","No","Yes","No","No","No","No","Yes","No","Yes","No",1998238,"Slow","Medium","No","Moderate","No","No","No",NA,"No","No","No","Low",NA,"No","No","Low","No","No"
"1867","Solidago multiradiata","Solidago multiradiata","SOMU",NA,"SOMU","NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), USA(AK, AZ, CA, CO, ID, ME, MT, NM, NV, OR, UT, WA, WY)","Dicot","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)AK(N)CAN(N)","Yes","Spring and Summer","Moderate","None","Medium","No","No","No","Yellow","Yes","Green","Moderate","Porous","Medium",NA,"No","Single Stem",NA,2,1,"No","No","Short","No","None","No","Erect",NA,"Yes","No","No","Low",NA,"Yes","Low","Medium",NA,47,"Low",NA,5,7.3,5120,20000,10,100,12,"None","Intolerant",-62,"Late Summer",NA,NA,NA,NA,"No","No","No","No","No","No","No","No","No","No",108888,"Rapid","High","No",NA,"No","No","No",NA,"No","No","No",NA,NA,"No","No",NA,"No","No"
"1868","Solidago nemoralis","Solidago nemoralis","SONE",NA,"SONE","NA (L48, CAN)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Rapid","None","Medium","No","No","No","Yellow","Yes","Green","Moderate","Porous","Medium","Brown","No","Rhizomatous","Rapid",NA,2,"No","No","Short","No","None","No","Decumbent","None","Yes","Yes","No","None","Medium","No","Medium","Low","High",150,"High","Medium",6.5,7.5,2700,11000,15,45,12,"None","Intolerant",-33,"Summer","No Known Source","High","Summer","Fall","No","No","No","Yes","No","Yes","Yes","No","No","No",1008000,"Rapid","High","No","Rapid","No","No","No",NA,"No","No","Yes","Medium","Medium","No","No","Medium","No","No"
"1869","Solidago patula","Solidago patula","SOPA2",NA,"SOPA2","NA (L48, CAN)","CAN(ON), USA(AL, AR, CT, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Summer","Slow","None",NA,"No","Yes","No","Yellow","Yes","Green","Moderate","Porous","Medium","White","No","Rhizomatous","Moderate",NA,7,"No","No","Short","No","None","No","Erect","None","Yes","Yes","Yes","High","Medium","No","Low","Low","None",100,"None","High",4.5,7,2728,3450,20,60,6,"None","Intermediate",-43,"Fall","Routinely Available","Medium","Fall","Fall","No","Yes","No","No","No","No","Yes","No","No","No",700000,"Slow","Medium","No","Rapid","No","No","No",NA,"No","No","No","Medium","Medium","No","No",NA,"No","No"
"1870","Solidago rugosa","Solidago rugosa","SORU2",NA,"SORU2","NA (L48, CAN, SPM)","CAN(LB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)SPM(N)","Yes","Spring and Summer","Moderate","None","High","No","No","No","Yellow","Yes","Green","Dense","Porous","Coarse","Brown","No","Rhizomatous","Rapid",NA,3,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","Low","Medium","No","Medium","Medium","High",95,"None","Medium",5,7.5,4800,11000,24,60,12,"None","Intermediate",-33,"Late Summer","Routinely Available","High","Summer","Fall","No","Yes","No","No","No","No","Yes","No","Yes","No",1000000,"Slow","Medium","No","Rapid","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
